"result #"	"search engine"	query	"article title"	"article url"	"article description"	"total nr of results (best guess)"
10	bing	"republican candidates 2024"	"The top 10 Republican presidential candidates for 2024, ranked"	https://www.bing.com/ck/a?!&&p=a1f413bc6f2b1d14JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTE4OQ&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly93d3cud2FzaGluZ3RvbnBvc3QuY29tL3BvbGl0aWNzLzIwMjMvMDcvMjkvdG9wLTEwLXJlcHVibGljYW4tcHJlc2lkZW50aWFsLWNhbmRpZGF0ZXMtMjAyNC1yYW5rZWQv&ntb=1	"WebJul 29, 2023 · The top contenders for the GOP 2024 nomination are former president Donald Trump and former U.N. ambassador Nikki Haley after Florida Gov. Ron DeSantis announced he was dropping out just ahead of ..."	2800000
11	bing	"republican candidates 2024"	"Here are the Republicans considering 2024 presidential …"	https://www.bing.com/ck/a?!&&p=e75f5e639dc83b50JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTIyMA&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly93d3cuY25uLmNvbS8yMDIzLzAyLzE0L3BvbGl0aWNzLzIwMjQtcmVwdWJsaWNhbi1wcmVzaWRlbnRpYWwtY29udGVuZGVycy1saXN0L2luZGV4Lmh0bWw&ntb=1	"WebFeb 15, 2023 · Here’s a look at who’s in and who is considering a 2024 run for the Republican nomination: Donald Trump : The former president officially launched his campaign in November, days after the ..."	2800000
12	bing	"republican candidates 2024"	"US election 2024: who are the Republican presidential candidates?"	https://www.bing.com/ck/a?!&&p=e1824db45797431dJmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTI0Nw&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly93d3cuZnQuY29tL2NvbnRlbnQvYzBhYzlkNTktMjI4NS00ZWZjLWI3ODYtMzU1YTEwZmYzNjYx&ntb=1	"WebJan 8, 2024 · DeSantis, 45, had been seen as the Republican best positioned to challenge Trump for the party’s nomination in 2024. As well as being a graduate of Yale University and Harvard Law School, he ..."	2800000
13	bing	"republican candidates 2024"	"Who""s running for president? Here are the major 2024 candidates …"	https://www.bing.com/ck/a?!&&p=85532d55ec8c8c91JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTI3NA&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly9hcG5ld3MuY29tL2FydGljbGUvcHJlc2lkZW50aWFsLWNhbmRpZGF0ZXMtMjAyNC0zMDFkYjVjZTMxMGNhZmM5NzAyNTY4MmIzOWNlYWM2ZQ&ntb=1	"WebJan 21, 2024 · FILE - Republican presidential candidate former UN Ambassador Nikki Haley speaks during a campaign event in Derry, N.H., Jan. 21, 2024. Two major Republican candidates are left competing for their party’s 2024 presidential nomination after the departure of Florida Gov. Ron DeSantis from the race."	2800000
14	bing	"republican candidates 2024"	"The top 10 Republican presidential candidates for 2024, ranked"	https://www.bing.com/ck/a?!&&p=d20f85af27e1bec1JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTMwMw&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly93d3cud2FzaGluZ3RvbnBvc3QuY29tL3BvbGl0aWNzLzIwMjIvMDgvMjAvdG9wLXRlbi1yZXB1YmxpY2FuLTIwMjQtY2FuZGlkYXRlcy8&ntb=1	"WebAug 20, 2022 · The top 10 Republican presidential candidates for 2024, ranked. Posters of former president Donald Trump and Florida Gov. Ron DeSantis are displayed during the first day of the CPAC conference in ..."	2800000
15	bing	"republican candidates 2024"	"Presidential candidates, 2024 - Ballotpedia"	https://www.bing.com/ck/a?!&&p=49a9554a0557361cJmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTMyOA&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly9iYWxsb3RwZWRpYS5vcmcvUHJlc2lkZW50aWFsX2NhbmRpZGF0ZXMsXzIwMjQ&ntb=1	"WebThe United States will hold a presidential election on November 5, 2024. This will be the 60th presidential election in United States history, and the first to be held after the reallocation of electoral college votes following the 2020 redistricting cycle.. As of February 2024, Ballotpedia has identified three noteworthy Democratic presidential candidates and three …"	2800000
16	bing	"republican candidates 2024"	"2024 Republican presidential candidates | CNN Politics"	https://www.bing.com/ck/a?!&&p=807083a7b456564aJmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTM1Nw&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly93d3cuY25uLmNvbS8yMDIzLzA1LzI0L3BvbGl0aWNzLzIwMjQtcmVwdWJsaWNhbi1wcmVzaWRlbnRpYWwtY2FuZGlkYXRlcy13aGF0LW1hdHRlcnMvaW5kZXguaHRtbA&ntb=1	"WebMay 24, 2023 · The first Republican primary debates won’t occur until August. The first primaries and caucuses won’t occur until early next year. But the 2024 presidential primary campaign is well underway."	2800000
17	bing	"republican candidates 2024"	"The top 10 GOP presidential candidates for 2024, ranked"	https://www.bing.com/ck/a?!&&p=6689dc5bb32ce21bJmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTM4NA&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly93d3cud2FzaGluZ3RvbnBvc3QuY29tL3BvbGl0aWNzLzIwMjIvMDUvMjEvdG9wLTIwMjQtZ29wLWNhbmRpZGF0ZXMv&ntb=1	"WebMay 21, 2022 · 10. Asa Hutchinson: The question has long been whether the GOP would ever nominate a Trump critic — even a gentle one — in 2024.The answer is probably still “no,” but the Arkansas governor ..."	2800000
18	bing	"republican candidates 2024"	"The top 10 Republican presidential candidates for 2024, ranked"	https://www.bing.com/ck/a?!&&p=204fb83b324b8fe0JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTQxMQ&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly93d3cud2FzaGluZ3RvbnBvc3QuY29tL3BvbGl0aWNzLzIwMjMvMDkvMDMvcmVwdWJsaWNhbi1wcmVzaWRlbnRpYWwtcmFua2luZ3MtMjAyNC8&ntb=1	"WebSep 3, 2023 · The top contenders for the GOP 2024 nomination are former president Donald Trump and former U.N. ambassador Nikki Haley after Florida Gov. Ron DeSantis announced he was dropping out just ahead of ..."	2800000
19	bing	"republican candidates 2024"	"Who Is Running for President in 2024? - People.com"	https://www.bing.com/ck/a?!&&p=30909f860daa8089JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTQzOA&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly9wZW9wbGUuY29tL3BvbGl0aWNzLzIwMjQtcHJlc2lkZW50aWFsLWNhbmRpZGF0ZXMv&ntb=1	"WebAug 29, 2023 · Sen. Tim Scott. Chip Somodevilla/Getty. Age: 57 Party: Republican Candidacy: Confirmed South Carolina Sen. Tim Scott has potential to be a strong candidate in the 2024 presidential race, proving ..."	2800000
20	bing	"republican candidates 2024"	"Ranking the 2024 Republican presidential field | CNN Politics"	https://www.bing.com/ck/a?!&&p=f7076d95b299e49dJmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTQ2NQ&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly93d3cuY25uLmNvbS8yMDIyLzA5LzIxL3BvbGl0aWNzLzIwMjQtcmVwdWJsaWNhbi1wcmVzaWRlbnRpYWwtcmFua2luZ3MtdHJ1bXAtZGVzYW50aXMvaW5kZXguaHRtbA&ntb=1	"WebSep 21, 2022 · Ranking the 2024 Republican field. Link Copied! Former President Donald Trump speaks at a rally in Youngstown, Ohio, on September 17, 2022. Just as Donald Trump began to look vulnerable in a ..."	2800000
21	bing	"republican candidates 2024"	"Who is Vivek Ramaswamy, the youngest candidate at the GOP …"	https://www.bing.com/ck/a?!&&p=366c0cade38ce24aJmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTQ5MQ&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly93d3cubnByLm9yZy8yMDIzLzA1LzE5LzExNzY4OTI2MjMvdml2ZWstcmFtYXN3YW15LWNhbmRpZGF0ZS1wcmVzaWRlbnQtMjAyNA&ntb=1	"WebMay 19, 2023 · Who is Vivek Ramaswamy, the 38-year-old entrepreneur and GOP presidential hopeful? An event goer holds a pamphlet for U.S. entrepreneur and 2024 presidential hopeful Vivek Ramaswamy during the ..."	2800000
22	bing	"republican candidates 2024"	"Who""s running for president in 2024? Meet the candidates - CBS …"	https://www.bing.com/ck/a?!&&p=66719bf0cc196344JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTUxNw&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly93d3cuY2JzbmV3cy5jb20vbGl2ZS11cGRhdGVzL3dob3MtcnVubmluZy1wcmVzaWRlbnQtMjAyNC1jYW5kaWRhdGVzLWRlbW9jcmF0aWMtcmVwdWJsaWNhbi8&ntb=1	"WebJan 24, 2024 · Suarez, who is Cuban American, was the only Latino GOP candidate in the 2024 field. He was the second Florida politician to enter the race and has been critical of certain aspects of Florida Gov ..."	2800000
23	bing	"republican candidates 2024"	"The top 10 Republican presidential candidates for 2024, ranked"	https://www.bing.com/ck/a?!&&p=9810822529e8e34cJmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTU0NA&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly93d3cud2FzaGluZ3RvbnBvc3QuY29tL3BvbGl0aWNzLzIwMjMvMDEvMTQvdG9wLTEwLXJlcHVibGljYW4tcHJlc2lkZW50aWFsLWNhbmRpZGF0ZXMtMjAyNC1yYW5rZWQv&ntb=1	"WebJan 14, 2023 · The 2024 Republican presidential race is technically two months old. We say “technically” because there’s really only one candidate and very little sign that he’s running a bona fide ..."	2800000
24	bing	"republican candidates 2024"	"The 13 Leading Republican Presidential Candidates for 2024"	https://www.bing.com/ck/a?!&&p=8c83bbbdc0253f73JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTU3MQ&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly8yNDd3YWxsc3QuY29tL3NwZWNpYWwtcmVwb3J0LzIwMjIvMTEvMTMvdGhlLTEzLWxlYWRpbmctcmVwdWJsaWNhbi1wcmVzaWRlbnRpYWwtY2FuZGlkYXRlcy1mb3ItMjAyNC8&ntb=1	"WebNov 13, 2022 · Some of the possible Republican candidates for 2024 have run for president before – Florida Sen. Marco Rubio, Texas Sen. Ted Cruz, Utah Sen. Mitt Romney, former New Jersey Gov. Chris Christie ..."	2800000
25	bing	"republican candidates 2024"	"Who""s running for president in 2024 and who has dropped out"	https://www.bing.com/ck/a?!&&p=f85deec6cf9d6db7JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTU5OA&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly9hYmNuZXdzLmdvLmNvbS9Qb2xpdGljcy9ydW5uaW5nLXByZXNpZGVudC0yMDI0L3N0b3J5P2lkPTk2ODQ5MTI3&ntb=1	"WebOct 29, 2023 · North Dakota Gov. Burgum on June 7 jumped into the 2024 presidential race, pitching himself to voters as a candidate ready to bring small town values to the big stage. ""We need a leader who""s ..."	2800000
26	bing	"republican candidates 2024"	"The GOP presidential field is largely set for 2024. Here’s ... - PBS"	https://www.bing.com/ck/a?!&&p=d995562dfa4f434fJmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTYyNQ&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly93d3cucGJzLm9yZy9uZXdzaG91ci9wb2xpdGljcy90aGUtZ29wLXByZXNpZGVudGlhbC1maWVsZC1pcy1sYXJnZWx5LXNldC1mb3ItMjAyNC1oZXJlcy13aGVyZS10aGUtY29udGVuZGVycy1zdGFuZA&ntb=1	"WebPolitics Jun 8, 2023 2:02 PM EST. NEW YORK (AP) — After a trio of new announcements this week, the Republican Party’s 2024 presidential field is all but set. A handful of stragglers may jump ..."	2800000
27	bing	"republican candidates 2024"	"New Hampshire Republican primary: Who are the main candidates…"	https://www.bing.com/ck/a?!&&p=8b24d94daebda84bJmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTY1Mg&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly93d3cuYmJjLmNvbS9uZXdzL3dvcmxkLXVzLWNhbmFkYS02MzU1MDIzNw&ntb=1	"WebOct 5, 2023 · Donald Trump, Nikki Haley and Ron DeSantis face off in New Hampshire. After months of campaigning, the list of Republican candidates for president has been whittled down to just three competitors ..."	2800000
28	bing	"republican candidates 2024"	"President: general election : 2024 Polls | FiveThirtyEight"	https://www.bing.com/ck/a?!&&p=b40152ee8882d4b3JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTY3OQ&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly9wcm9qZWN0cy5maXZldGhpcnR5ZWlnaHQuY29tL3BvbGxzL3ByZXNpZGVudC1nZW5lcmFsLzIwMjQv&ntb=1	"Web2 days ago · Kari Lake is a Republican Party candidate for office. Biden: 41%. Biden: 41%. Biden. 41%. Trump. 45%. 45%. Trump : Trump +4: Jan. 30, 2024. President: general election, North Carolina, 2024. Jan. 26-31. 760: RV: ... presidential approval and national 2024 Republican primary averages is available for download here. Notice any bugs or ..."	2800000
29	bing	"republican candidates 2024"	"8 candidates qualify for first 2024 Republican presidential debate …"	https://www.bing.com/ck/a?!&&p=00d8a14776e96c40JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTcwNg&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly93d3cuY25uLmNvbS8yMDIzLzA4LzIxL3BvbGl0aWNzL21pbHdhdWtlZS1ybmMtcHJlc2lkZW50aWFsLWRlYmF0ZS1jYW5kaWRhdGVzL2luZGV4Lmh0bWw&ntb=1	"WebAug 21, 2023 · Eight Republicans have qualified for the party’s first 2024 presidential primary debate Wednesday night, the Republican National Committee announced Monday evening."	2800000
30	bing	"republican candidates 2024"	"More Republican candidates poised to join 2024 campaign"	https://www.bing.com/ck/a?!&&p=534336ea57c90525JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTczMw&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly93d3cucGJzLm9yZy9uZXdzaG91ci9wb2xpdGljcy9tb3JlLXJlcHVibGljYW4tY2FuZGlkYXRlcy1wb2lzZWQtdG8tam9pbi0yMDI0LWNhbXBhaWdu&ntb=1	"WebApr 22, 2023 · Brooks and Capehart on the 2024 campaign as Republican candidates headline big GOP events. By David Brooks, Jonathan Capehart. Asa Hutchinson, former GOP Arkansas governor, is running for president."	2800000
31	bing	"republican candidates 2024"	"Nikki Haley: Who is the Republican 2024 presidential candidate?"	https://www.bing.com/ck/a?!&&p=c2f00aae137c1048JmltdHM9MTcwNzI2NDAwMCZpZ3VpZD0wNmQyNjk0Ni0wYjJhLTYzYWEtMTk2Yy03ZDU4MGFhOTYyZjcmaW5zaWQ9NTc1OQ&ptn=3&ver=2&hsh=3&fclid=06d26946-0b2a-63aa-196c-7d580aa962f7&u=a1aHR0cHM6Ly93d3cucmV1dGVycy5jb20vd29ybGQvdXMvbmlra2ktaGFsZXktd2hvLWlzLXJlcHVibGljYW4tMjAyNC1wcmVzaWRlbnRpYWwtY2FuZGlkYXRlLTIwMjMtMDItMTQv&ntb=1	"WebFeb 14, 2023 · Former U.S. Ambassador to the United Nations Nikki Haley said on Tuesday she will seek the 2024 Republican presidential nomination, putting her at odds with one-time boss Donald Trump, the former ..."	2800000
